id,category,query,answer
Q001,single-hop,What is the maximum operating speed of the attraction?,The maximum operating speed is 80 km/h.
Q002,single-hop,What is the minimum rider height?,The minimum rider height is 120 cm.
Q003,factual,What type of safety restraint is used?,The attraction uses over-the-shoulder safety restraints.
Q004,factual,Where is the emergency stop control located?,The emergency stop control is located at the operator control panel.
Q005,quantitative,How many riders can each vehicle carry?,Each vehicle can carry 24 riders.
Q006,quantitative,What is the maximum ride duration in minutes?,The maximum ride duration is 4 minutes.
Q007,negative,Does the document state that riders below 120 cm are permitted?,No. The document states a minimum rider height of 120 cm.
Q008,negative,Does the document say the attraction can operate during a lightning storm?,No. The document does not permit operation during a lightning storm.
Q009,single-hop,What is the required operator position during operation?,The operator must remain at the designated control panel during operation.
Q010,single-hop,What is the recommended inspection frequency?,The attraction should receive a daily pre-operation inspection.
Q011,factual,What weather condition requires the attraction to stop operating?,Severe lightning conditions require the attraction to stop operating.
Q012,factual,What must riders do before dispatch?,Riders must secure the restraint and follow the operator's safety instructions before dispatch.
Q013,quantitative,What is the maximum wind speed for operation?,The maximum wind speed for operation is 45 km/h.
Q014,quantitative,How many emergency stop controls are provided?,Two emergency stop controls are provided.
Q015,negative,Does the document say guests may enter the restricted maintenance area?,No. Guests are not permitted to enter the restricted maintenance area.
Q016,negative,Does the document state that restraints may be left unsecured if the ride is short?,No. Riders must have their restraints properly secured before dispatch.
